citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
74 FR 6107, E9-2485,6111,https://www.federalregister.gov/documents/2009/02/04/E9-2485/notification-of-employee-rights-under-federal-labor-laws,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2485.pdf,Presidential Document,Executive Order,02/04/2009,01/30/2009,6107,Notification of Employee Rights Under Federal Labor Laws,"Revokes: EO 13201, February 17, 2001",13496
74 FR 6113, E9-2486,6113,https://www.federalregister.gov/documents/2009/02/04/E9-2486/revocation-of-certain-executive-orders-concerning-regulatory-planning-and-review,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2486.pdf,Presidential Document,Executive Order,02/04/2009,01/30/2009,6113,Revocation of Certain Executive Orders Concerning Regulatory Planning and Review,"Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007; See: EO 12866, September 30, 1993",13497
74 FR 4893, E9-1885,4896,https://www.federalregister.gov/documents/2009/01/27/E9-1885/ensuring-lawful-interrogations,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1885.pdf,Presidential Document,Executive Order,01/27/2009,01/22/2009,4891,Ensuring Lawful Interrogations,"See: EO 13567, March 7, 2011
Revokes: EO 13440, July 20, 2007",13491
74 FR 4897, E9-1893,4900,https://www.federalregister.gov/documents/2009/01/27/E9-1893/review-and-disposition-of-individuals-detained-at-the-guantaacutenamo-bay-naval-base-and-closure-of,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1893.pdf,Presidential Document,Executive Order,01/27/2009,01/22/2009,4897,Review and Disposition of Individuals Detained At the Guant[aacute]namo Bay Naval Base and Closure of Detention Facilities,"See: EO 13567, March 7, 2011",13492
74 FR 4901, E9-1895,4902,https://www.federalregister.gov/documents/2009/01/27/E9-1895/review-of-detention-policy-options,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1895.pdf,Presidential Document,Executive Order,01/27/2009,01/22/2009,4901,Review of Detention Policy Options,"",13493
74 FR 4669, E9-1712,4671,https://www.federalregister.gov/documents/2009/01/26/E9-1712/presidential-records,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1712.pdf,Presidential Document,Executive Order,01/26/2009,01/21/2009,4667,Presidential Records,"Revokes: EO 13233, November 1, 2001",13489
74 FR 4673, E9-1719,4678,https://www.federalregister.gov/documents/2009/01/26/E9-1719/ethics-commitments-by-executive-branch-personnel,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1719.pdf,Presidential Document,Executive Order,01/26/2009,01/21/2009,4673,Ethics Commitments by Executive Branch Personnel,"Superseded by: EO 13770, January 28, 2017",13490
74 FR 4097, E9-1538,4098,https://www.federalregister.gov/documents/2009/01/22/E9-1538/establishment-of-a-temporary-organization-to-facilitate-united-states-government-support-for,https://www.govinfo.gov/content/pkg/FR-2009-01-22/pdf/E9-1538.pdf,Presidential Document,Executive Order,01/22/2009,01/16/2009,4097,Establishment of a Temporary Organization To Facilitate United States Government Support for Afghanistan,"",13487
74 FR 4111, E9-1574,4113,https://www.federalregister.gov/documents/2009/01/22/E9-1574/granting-reciprocity-on-excepted-service-and-federal-contractor-employee-fitness-and-reinvestigating,https://www.govinfo.gov/content/pkg/FR-2009-01-22/pdf/E9-1574.pdf,Presidential Document,Executive Order,01/22/2009,01/16/2009,4111,Granting Reciprocity on Excepted Service and Federal Contractor Employee Fitness and Reinvestigating Individuals in Positions of Public Trust,"See: EO 10450, April 27, 1953; EO 13467, June 30, 2008
Amended by: EO 13764, January 17, 2017",13488
74 FR 2285, E9-811,2286,https://www.federalregister.gov/documents/2009/01/14/E9-811/amending-the-order-of-succession-within-the-department-of-agriculture,https://www.govinfo.gov/content/pkg/FR-2009-01-14/pdf/E9-811.pdf,Presidential Document,Executive Order,01/14/2009,01/09/2009,2283,Amending the Order of Succession Within the Department of Agriculture,"Amends: EO 13241, December 18, 2001",13484
74 FR 2287, E9-814,2288,https://www.federalregister.gov/documents/2009/01/14/E9-814/providing-an-order-of-succession-within-the-department-of-transportation,https://www.govinfo.gov/content/pkg/FR-2009-01-14/pdf/E9-814.pdf,Presidential Document,Executive Order,01/14/2009,01/09/2009,2287,Providing an Order of Succession Within the Department of Transportation,"Supersedes: Memorandum of March 19, 2002",13485
74 FR 2289, E9-818,2291,https://www.federalregister.gov/documents/2009/01/14/E9-818/strengthening-laboratory-biosecurity-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-2009-01-14/pdf/E9-818.pdf,Presidential Document,Executive Order,01/14/2009,01/09/2009,2289,Strengthening Laboratory Biosecurity in the United States,"",13486
73 FR 78587, E8-30700,78598,https://www.federalregister.gov/documents/2008/12/23/E8-30700/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2008-12-23/pdf/E8-30700.pdf,Presidential Document,Executive Order,12/23/2008,12/18/2008,78587,Adjustments of Certain Rates of Pay,"Superseded by: EO 13525, December 23, 2009;;
 ;  Supersedes: EO 13454, January, 4, 2008",13483
73 FR 76501, E8-30042,76501,https://www.federalregister.gov/documents/2008/12/16/E8-30042/closing-of-executive-departments-and-agencies-of-the-federal-government-on-friday-december-26-2008,https://www.govinfo.gov/content/pkg/FR-2008-12-16/pdf/E8-30042.pdf,Presidential Document,Executive Order,12/16/2008,12/12/2008,76499,"Closing of Executive Departments and Agencies of the Federal Government on Friday, December 26, 2008","See: EO 11582, February 11, 1971",13482
73 FR 75531, E8-29564,75532,https://www.federalregister.gov/documents/2008/12/11/E8-29564/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2008-12-11/pdf/E8-29564.pdf,Presidential Document,Executive Order,12/11/2008,12/09/2008,75529,Providing An Order of Succession Within the Department of Justice,"Supersedes: Memorandum of December 8, 2006;;
 ;  Revoked by: EO 13557, November 4, 2010",13481
73 FR 73991, E8-28912,73993,https://www.federalregister.gov/documents/2008/12/04/E8-28912/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2008-12-04/pdf/E8-28912.pdf,Presidential Document,Executive Order,12/04/2008,11/26/2008,73989,Exclusions From the Federal Labor-management Relations Program,"Amends: EO 12171, November 19, 1979",13480
73 FR 70239, E8-27771,70240,https://www.federalregister.gov/documents/2008/11/20/E8-27771/amendments-to-executive-order-9397-relating-to-federal-agency-use-of-social-security-numbers,https://www.govinfo.gov/content/pkg/FR-2008-11-20/pdf/E8-27771.pdf,Presidential Document,Executive Order,11/20/2008,11/18/2008,70239,Amendments To Executive Order 9397 Relating To Federal Agency Use of Social Security Numbers,"Amends: EO 9397, November 22, 1943",13478
73 FR 70241, E8-27777,70243,https://www.federalregister.gov/documents/2008/11/20/E8-27777/transformation-of-the-national-air-transportation-system,https://www.govinfo.gov/content/pkg/FR-2008-11-20/pdf/E8-27777.pdf,Presidential Document,Executive Order,11/20/2008,11/18/2008,70241,Transformation of the National Air Transportation System,"See: EO 13419, December 20, 2006",13479
73 FR 65965, E8-26531,65966,https://www.federalregister.gov/documents/2008/11/05/E8-26531/settlement-of-claims-against-libya,https://www.govinfo.gov/content/pkg/FR-2008-11-05/pdf/E8-26531.pdf,Presidential Document,Executive Order,11/05/2008,10/31/2008,65965,Settlement of Claims Against Libya,"",13477
73 FR 60605, E8-24465,60607,https://www.federalregister.gov/documents/2008/10/14/E8-24465/facilitation-of-a-presidential-transition,https://www.govinfo.gov/content/pkg/FR-2008-10-14/pdf/E8-24465.pdf,Presidential Document,Executive Order,10/14/2008,10/09/2008,60605,Facilitation of a Presidential Transition,"See: EO 13467, June 30, 2008;;
 ;  Supersedes: EO 13176, November 27, 2000",13476
73 FR 60095, E8-24342,60096,https://www.federalregister.gov/documents/2008/10/10/E8-24342/further-amendments-to-executive-orders-12139-and-12949-in-light-of-the-foreign-intelligence,https://www.govinfo.gov/content/pkg/FR-2008-10-10/pdf/E8-24342.pdf,Presidential Document,Executive Order,10/10/2008,10/07/2008,60095,Further Amendments To Executive Orders 12139 And 12949 In Light of the Foreign Intelligence Surveillance Act of 1978 Amendments Act of 2008,"Amends: EO 12139, May 23, 1979; EO 12949, February 9, 1995",13475
73 FR 57229, E8-23235,57230,https://www.federalregister.gov/documents/2008/10/01/E8-23235/amendments-to-executive-order-12962,https://www.govinfo.gov/content/pkg/FR-2008-10-01/pdf/E8-23235.pdf,Presidential Document,Executive Order,10/01/2008,09/26/2008,57229,Amendments to Executive Order 12962,"Amends: EO 12962, June 7, 1995",13474
73 FR 56703, E8-23125,56704,https://www.federalregister.gov/documents/2008/09/30/E8-23125/to-authorize-certain-noncompetitive-appointments-in-the-civil-service-for-spouses-of-certain-members,https://www.govinfo.gov/content/pkg/FR-2008-09-30/pdf/E8-23125.pdf,Presidential Document,Executive Order,09/30/2008,09/25/2008,56703,To Authorize Certain Noncompetitive Appointments in the Civil Service for Spouses of Certain Members of the Armed Forces,"",13473
73 FR 53353, E8-21651,53354,https://www.federalregister.gov/documents/2008/09/15/E8-21651/executive-branch-responsibilities-with-respect-to-orders-of-succession,https://www.govinfo.gov/content/pkg/FR-2008-09-15/pdf/E8-21651.pdf,Presidential Document,Executive Order,09/15/2008,09/11/2008,53351,Executive Branch Responsibilities With Respect To Orders of Succession,"See: EO 11030, June 15, 1962",13472
73 FR 51209, E8-20436,51209,https://www.federalregister.gov/documents/2008/09/02/E8-20436/further-amendments-to-executive-order-13285-presidents-council-on-service-and-civic-participation,https://www.govinfo.gov/content/pkg/FR-2008-09-02/pdf/E8-20436.pdf,Presidential Document,Executive Order,09/02/2008,08/28/2008,51209,"Further Amendments To Executive Order 13285, President's Council On Service And Civic Participation","Amends: EO 13285, January 29, 2003",13471
73 FR 45325, E8-17940,45342,https://www.federalregister.gov/documents/2008/08/04/E8-17940/further-amendments-to-executive-order-12333-united-states-intelligence-activities,https://www.govinfo.gov/content/pkg/FR-2008-08-04/pdf/E8-17940.pdf,Presidential Document,Executive Order,08/04/2008,07/30/2008,45323,"Further Amendments to Executive Order 12333, United States Intelligence Activities","See: EO 12036, January 24, 1978; EO 12958, April 17, 1995; EO 13354, August 27, 2004; EO 13355, August 27, 2004; EO 13462, February 29, 2008;;
 ;  Amends: EO 12333, December 4, 1981;;
 ;  Revokes: EO 13354, August 27, 2004, and EO 13355, August 27, 2004, read in conjunction with EO 12333, December 4, 1981",13470
73 FR 43841, 08-1480,43843,https://www.federalregister.gov/documents/2008/07/29/08-1480/blocking-property-of-additional-persons-undermining-democratic-processes-or-institutions-in-zimbabwe,https://www.govinfo.gov/content/pkg/FR-2008-07-29/pdf/08-1480.pdf,Presidential Document,Executive Order,07/29/2008,07/25/2008,43841,Blocking Property of Additional Persons Undermining Democratic Processes or Institutions in Zimbabwe,"See: EO 13288, March 6, 2003; EO 13391, November 22, 2005; Notice of March 3, 2009; Notice of March 1, 2010",13469
73 FR 43827, 08-1472,43839,https://www.federalregister.gov/documents/2008/07/28/08-1472/2008-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2008-07-28/pdf/08-1472.pdf,Presidential Document,Executive Order,07/28/2008,07/24/2008,43825,"2008 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",13468
73 FR 38103, 08-1409,38108,https://www.federalregister.gov/documents/2008/07/02/08-1409/reforming-processes-related-to-suitability-for-government-employment-fitness-for-contractor,https://www.govinfo.gov/content/pkg/FR-2008-07-02/pdf/08-1409.pdf,Presidential Document,Executive Order,07/02/2008,06/30/2008,38101,"Reforming Processes Related to Suitability for Government Employment, Fitness for Contractor Employees, and Eligibility for Access to Classified National Security Information","Amends: EO 12171, November 19, 1979; EO 12968, August 2, 1995
Amend by: EO 13741, September 29, 2016; EO 13764, January 17, 2017
Revokes: EO 13381, June 27, 2005
See: EO 10450, April 27, 1953; EO 10577, November 23, 1954; EO 10865, February 20, 1960; EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12958, April 17, 1995; EO 13476, October 9, 2008; EO 13488, January 16, 2008; EO 13549, August 18, 2010",13467
73 FR 36787, 08-1399,36788,https://www.federalregister.gov/documents/2008/06/27/08-1399/continuing-certain-restrictions-with-respect-to-north-korea-and-north-korean-nationals,https://www.govinfo.gov/content/pkg/FR-2008-06-27/pdf/08-1399.pdf,Presidential Document,Executive Order,06/27/2008,06/26/2008,36787,Continuing Certain Restrictions With Respect to North Korea and North Korean Nationals,"See: Notice of June 24, 2009; Notice of June 14, 2010; EO 13551, August 30, 2010; EO 13570, April 18, 2011; EO 13687, January 2, 2015; EO 13722, March 15, 2016; EO 13810, September 20, 2017",13466
73 FR 33285, 08-1348,33287,https://www.federalregister.gov/documents/2008/06/11/08-1348/amending-executive-order-12989-as-amended,https://www.govinfo.gov/content/pkg/FR-2008-06-11/pdf/08-1348.pdf,Presidential Document,Executive Order,06/11/2008,06/06/2008,33283,"Amending Executive Order 12989, as Amended","Amends: EO 12989, February 5, 1996",13465
73 FR 24489, 08-1215,24493,https://www.federalregister.gov/documents/2008/05/02/08-1215/blocking-property-and-prohibiting-certain-transactions-related-to-burma,https://www.govinfo.gov/content/pkg/FR-2008-05-02/pdf/08-1215.pdf,Presidential Document,Executive Order,05/02/2008,04/30/2008,24489,Blocking Property and Prohibiting Certain Transactions Related to Burma,"Amended by: EO 13619, July 11, 2012
See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010; EO 13619, July 11, 2012
Revoked by: EO 13742, October 7, 2016",13464
73 FR 22047, 08-1182,22047,https://www.federalregister.gov/documents/2008/04/23/08-1182/amending-executive-orders-13389-and-13390,https://www.govinfo.gov/content/pkg/FR-2008-04-23/pdf/08-1182.pdf,Presidential Document,Executive Order,04/23/2008,04/18/2008,22045,Amending Executive Orders 13389 and 13390,"Amends: EO 13389, November 1, 2005; EO 13390, November 1, 2005",13463
73 FR 11805, 08-970,11809,https://www.federalregister.gov/documents/2008/03/04/08-970/presidents-intelligence-advisory-board-and-intelligence-oversight-board,https://www.govinfo.gov/content/pkg/FR-2008-03-04/pdf/08-970.pdf,Presidential Document,Executive Order,03/04/2008,02/29/2008,11803,President's Intelligence Advisory Board and Intelligence Oversight Board,"Amended by: EO 13516, October 28, 2009;;
 ;  Revokes: EO 12863, September 13, 1993;;
 ;  See: EO 12333, December 4, 1981; EO 12958, April 17, 1995; EO 12968, August 2, 1995; EO 13470, July 30, 2008",13462
73 FR 9437, 08-797,9438,https://www.federalregister.gov/documents/2008/02/20/08-797/providing-an-order-of-succession-within-the-department-of-health-and-human-services,https://www.govinfo.gov/content/pkg/FR-2008-02-20/pdf/08-797.pdf,Presidential Document,Executive Order,02/20/2008,02/15/2008,9435,Providing an Order of Succession Within the Department of Health and Human Services,"Revokes: EO 13250, December 28, 2001; Memorandum of March 19, 2002",13461
73 FR 8991, 08-761,8993,https://www.federalregister.gov/documents/2008/02/15/08-761/blocking-property-of-additional-persons-in-connection-with-the-national-emergency-with-respect-to,https://www.govinfo.gov/content/pkg/FR-2008-02-15/pdf/08-761.pdf,Presidential Document,Executive Order,02/15/2008,02/13/2008,8989,Blocking Property of Additional Persons in Connection With the National Emergency With Respect to Syria,"Amends: EO 13338, May 11, 2004;;
 ;  See: EO 13399, April 25, 2006; Notice of May 7, 2008; Notice of May 7, 2009; Notice of May 3, 2010; EO 13572, April 29, 2011; EO 13573, May 18, 2011; EO 13582, August 17, 2011",13460
73 FR 8003, 08-658,8005,https://www.federalregister.gov/documents/2008/02/12/08-658/improving-the-coordination-and-effectiveness-of-youth-programs,https://www.govinfo.gov/content/pkg/FR-2008-02-12/pdf/08-658.pdf,Presidential Document,Executive Order,02/12/2008,02/07/2008,8003,Improving the Coordination and Effectiveness of Youth Programs,"",13459
73 FR 7181, 08-568,7182,https://www.federalregister.gov/documents/2008/02/06/08-568/implementation-of-the-protocol-additional-to-the-agreement-between-the-united-states-and-the,https://www.govinfo.gov/content/pkg/FR-2008-02-06/pdf/08-568.pdf,Presidential Document,Executive Order,02/06/2008,02/04/2008,7179,Implementation of the Protocol Additional to the Agreement Between the United States and the International Atomic Energy Agency for the Application of Safeguards in the United States of America,"",13458
73 FR 6417, 08-483,6418,https://www.federalregister.gov/documents/2008/02/01/08-483/protecting-american-taxpayers-from-government-spending-on-wasteful-earmarks,https://www.govinfo.gov/content/pkg/FR-2008-02-01/pdf/08-483.pdf,Presidential Document,Executive Order,02/01/2008,01/29/2008,6415,Protecting American Taxpayers From Government Spending on Wasteful Earmarks,"",13457
73 FR 4677, 08-360,4681,https://www.federalregister.gov/documents/2008/01/25/08-360/further-amendment-of-executive-order-11858-concerning-foreign-investment-in-the-united-states,https://www.govinfo.gov/content/pkg/FR-2008-01-25/pdf/08-360.pdf,Presidential Document,Executive Order,01/25/2008,01/23/2008,4675,Further Amendment of Executive Order 11858 Concerning Foreign Investment in the United States,"Amends: EO 11858, May 7, 1975;;
 ;  Revokes in part: EO 12919, June 3, 1994",13456
73 FR 4445, 08-325,4447,https://www.federalregister.gov/documents/2008/01/24/08-325/establishing-the-presidents-advisory-council-on-financial-literacy,https://www.govinfo.gov/content/pkg/FR-2008-01-24/pdf/08-325.pdf,Presidential Document,Executive Order,01/24/2008,01/22/2008,4443,Establishing the President's Advisory Council on Financial Literacy,"",13455
73 FR 1481, 08-62,1492,https://www.federalregister.gov/documents/2008/01/08/08-62/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2008-01-08/pdf/08-62.pdf,Presidential Document,Executive Order,01/08/2008,01/04/2008,1479,Adjustments of Certain Rates of Pay,"Supersedes: EO 13420, December 21, 2006;;
 ;  Superseded by: EO 13483, December 18, 2008",13454
72 FR 70477, 07-6022,70477,https://www.federalregister.gov/documents/2007/12/11/07-6022/closing-of-executive-departments-and-agencies-of-the-federal-government-on-monday-december-24-2007,https://www.govinfo.gov/content/pkg/FR-2007-12-11/pdf/07-6022.pdf,Presidential Document,Executive Order,12/11/2007,12/06/2007,70475,"Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2007","See: EO 11582, February 11, 1971",13453
72 FR 67825, 07-5919,67829,https://www.federalregister.gov/documents/2007/11/30/07-5919/establishing-an-emergency-board-to-investigate-disputes-between-the-national-railroad-passenger,https://www.govinfo.gov/content/pkg/FR-2007-11-30/pdf/07-5919.pdf,Presidential Document,Executive Order,11/30/2007,11/28/2007,67825,Establishing an Emergency Board To Investigate Disputes Between the National Railroad Passenger Corporation and Certain of Its Employees Represented by Certain Labor Organizations,"",13452
72 FR 65653, 07-5816,65653,https://www.federalregister.gov/documents/2007/11/21/07-5816/designating-the-iter-international-fusion-energy-organization-as-a-public-international-organization,https://www.govinfo.gov/content/pkg/FR-2007-11-21/pdf/07-5816.pdf,Presidential Document,Executive Order,11/21/2007,11/19/2007,65653,"Designating the ITER International Fusion Energy Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","",13451
72 FR 64519, 07-5726,64522,https://www.federalregister.gov/documents/2007/11/15/07-5726/improving-government-program-performance,https://www.govinfo.gov/content/pkg/FR-2007-11-15/pdf/07-5726.pdf,Presidential Document,Executive Order,11/15/2007,11/13/2007,64517,Improving Government Program Performance,"",13450
72 FR 60531, 07-5299,60532,https://www.federalregister.gov/documents/2007/10/24/07-5299/protection-of-striped-bass-and-red-drum-fish-populations,https://www.govinfo.gov/content/pkg/FR-2007-10-24/pdf/07-5299.pdf,Presidential Document,Executive Order,10/24/2007,10/20/2007,60531,Protection of Striped Bass and Red Drum Fish Populations,"See: Proclamation 5030, March 10, 1983",13449
72 FR 60223, 07-5270,60226,https://www.federalregister.gov/documents/2007/10/23/07-5270/blocking-property-and-prohibiting-certain-transactions-related-to-burma,https://www.govinfo.gov/content/pkg/FR-2007-10-23/pdf/07-5270.pdf,Presidential Document,Executive Order,10/23/2007,10/18/2007,60221,Blocking Property and Prohibiting Certain Transactions Related to Burma,"See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13464, April 30, 2008; Notice of May 16, 2008; Notice of May 14, 2009; Notice of May 13, 2010; EO 13619, July 11, 2012
Amended by: EO 13619, July 11, 2012
Revoked by: EO 13742, October 7, 2016",13448
72 FR 56165, 07-4890,56167,https://www.federalregister.gov/documents/2007/10/02/07-4890/strengthening-adult-education,https://www.govinfo.gov/content/pkg/FR-2007-10-02/pdf/07-4890.pdf,Presidential Document,Executive Order,10/02/2007,09/27/2007,56163,Strengthening Adult Education,"",13445
72 FR 56175, 07-4906,56178,https://www.federalregister.gov/documents/2007/10/02/07-4906/continuance-of-certain-federal-advisory-committees-and-amendments-to-and-revocation-of-other,https://www.govinfo.gov/content/pkg/FR-2007-10-02/pdf/07-4906.pdf,Presidential Document,Executive Order,10/02/2007,09/28/2007,56175,Continuance of Certain Federal Advisory Committees and Amendments to and Revocation of Other Executive Orders,"Amends: EO 12994, March 21, 1996
Continues: EO 11145, March 7,1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 19, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13237, November 28, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002
Revokes: EO 13369, January 7, 2005
See: EO 13379, June 16, 2005; EO 13386, September 30, 2005
Supersedes in part: EO 13385, September 29, 2005
Superseded in part by: EO 13511, September 29, 2009",13446
72 FR 56179, 07-4907,56239,https://www.federalregister.gov/documents/2007/10/02/07-4907/further-2007-amendments-to-the-manual-for-courts--martial-united-states,https://www.govinfo.gov/content/pkg/FR-2007-10-02/pdf/07-4907.pdf,Presidential Document,Executive Order,10/02/2007,09/28/2007,56179,"Further 2007 Amendments to the Manual for Courts- Martial, United States","See: EO 12473, April 13, 1984; EO 13262, April 11, 2002",13447
72 FR 52747, 07-4600,52747,https://www.federalregister.gov/documents/2007/09/14/07-4600/extending-privileges-and-immunities-to-the-african-union-mission-to-the-united-states,https://www.govinfo.gov/content/pkg/FR-2007-09-14/pdf/07-4600.pdf,Presidential Document,Executive Order,09/14/2007,09/12/2007,52745,Extending Privileges and Immunities to the African Union Mission to the United States,"",13444
72 FR 46537, 07-4115,46538,https://www.federalregister.gov/documents/2007/08/20/07-4115/facilitation-of-hunting-heritage-and-wildlife-conservation,https://www.govinfo.gov/content/pkg/FR-2007-08-20/pdf/07-4115.pdf,Presidential Document,Executive Order,08/20/2007,08/16/2007,46535,Facilitation of Hunting Heritage and Wildlife Conservation,"",13443
72 FR 45877, 07-4023,45878,https://www.federalregister.gov/documents/2007/08/15/07-4023/amending-the-order-of-succession-in-the-department-of-homeland-security,https://www.govinfo.gov/content/pkg/FR-2007-08-15/pdf/07-4023.pdf,Presidential Document,Executive Order,08/15/2007,08/13/2007,45875,Amending the Order of Succession in the Department of Homeland Security,"Amends: EO 13286, February 28, 2003;;
 ;  Revokes: EO 13362, November 29, 2004",13442
72 FR 43499, 07-3835,43501,https://www.federalregister.gov/documents/2007/08/03/07-3835/blocking-property-of-persons-undermining-the-sovereignty-of-lebanon-or-its-democratic-processes-and,https://www.govinfo.gov/content/pkg/FR-2007-08-03/pdf/07-3835.pdf,Presidential Document,Executive Order,08/03/2007,08/01/2007,43497,Blocking Property of Persons Undermining the Sovereignty of Lebanon or Its Democratic Processes and Institutions,"See: Notice of July 30, 2008; Notice of July 30, 2009; Notice of July 29, 2010",13441
72 FR 40707, 07-3656,40709,https://www.federalregister.gov/documents/2007/07/24/07-3656/interpretation-of-the-geneva-conventions-common-article-3-as-applied-to-a-program-of-detention-and,https://www.govinfo.gov/content/pkg/FR-2007-07-24/pdf/07-3656.pdf,Presidential Document,Executive Order,07/24/2007,07/20/2007,40705,Interpretation of the Geneva Conventions Common Article 3 as Applied to a Program of Detention and Interrogation Operated by the Central Intelligence Agency,"",13440
72 FR 40053, 07-3593,40055,https://www.federalregister.gov/documents/2007/07/20/07-3593/establishing-an-interagency-working-group-on-import-safety,https://www.govinfo.gov/content/pkg/FR-2007-07-20/pdf/07-3593.pdf,Presidential Document,Executive Order,07/20/2007,07/18/2007,40051,Establishing an Interagency Working Group on Import Safety,"",13439
72 FR 39719, 07-3552,39721,https://www.federalregister.gov/documents/2007/07/19/07-3552/blocking-property-of-certain-persons-who-threaten-stabilization-efforts-in-iraq,https://www.govinfo.gov/content/pkg/FR-2007-07-19/pdf/07-3552.pdf,Presidential Document,Executive Order,07/19/2007,07/17/2007,39717,Blocking Property of Certain Persons Who Threaten Stabilization Efforts in Iraq,"See: EO 13303, May 22, 2003; EO 13315, August 28, 2003; EO 13350, July 29, 2004; EO 13364, November 29, 2004; Notice of May 20, 2008; Notice of May 19, 2009; Notice of May 12, 2010",13438
72 FR 36337, 07-3258,36337,https://www.federalregister.gov/documents/2007/07/03/07-3258/further-amending-executive-order-13381-as-amended-to-extend-its-duration-by-one-year,https://www.govinfo.gov/content/pkg/FR-2007-07-03/pdf/07-3258.pdf,Presidential Document,Executive Order,07/03/2007,06/28/2007,36337,"Further Amending Executive Order 13381, as Amended, To Extend Its Duration by One Year","Amends: EO 13381, June 27, 2005",13436
72 FR 36339, 07-3259,36339,https://www.federalregister.gov/documents/2007/07/03/07-3259/waiver-under-the-trade-act-of-1974-with-respect-to-turkmenistan,https://www.govinfo.gov/content/pkg/FR-2007-07-03/pdf/07-3259.pdf,Presidential Document,Executive Order,07/03/2007,06/28/2007,36339,Waiver Under the Trade Act of 1974 With Respect to Turkmenistan,"",13437
72 FR 34591, 07-3112,34593,https://www.federalregister.gov/documents/2007/06/22/07-3112/expanding-approved-stem-cell-lines-in-ethically-responsible-ways,https://www.govinfo.gov/content/pkg/FR-2007-06-22/pdf/07-3112.pdf,Presidential Document,Executive Order,06/22/2007,06/20/2007,34589,Expanding Approved Stem Cell Lines in Ethically Responsible Ways,"Revoked by: EO 13505, March 9, 2009",13435
72 FR 28583, 07-2570,28585,https://www.federalregister.gov/documents/2007/05/22/07-2570/national-security-professional-development,https://www.govinfo.gov/content/pkg/FR-2007-05-22/pdf/07-2570.pdf,Presidential Document,Executive Order,05/22/2007,05/17/2007,28583,National Security Professional Development,"",13434
72 FR 28441, 07-2518,28442,https://www.federalregister.gov/documents/2007/05/18/07-2518/protecting-american-taxpayers-from-payment-of-contingency-fees,https://www.govinfo.gov/content/pkg/FR-2007-05-18/pdf/07-2518.pdf,Presidential Document,Executive Order,05/18/2007,05/16/2007,28439,Protecting American Taxpayers From Payment of Contingency Fees,"",13433
72 FR 27717, 07-2462,27719,https://www.federalregister.gov/documents/2007/05/16/07-2462/cooperation-among-agencies-in-protecting-the-environment-with-respect-to-greenhouse-gas-emissions,https://www.govinfo.gov/content/pkg/FR-2007-05-16/pdf/07-2462.pdf,Presidential Document,Executive Order,05/16/2007,05/14/2007,27715,"Cooperation Among Agencies in Protecting the Environment With Respect to Greenhouse Gas Emissions From Motor Vehicles, Nonroad Vehicles, and Nonroad Engines","Amended by: EO 13693, March 19, 2015
See: EO 12866, September 30, 1993; EO 13423, January 24, 2007",13432
72 FR 26709, 07-2367,26710,https://www.federalregister.gov/documents/2007/05/11/07-2367/establishment-of-temporary-organization-to-facilitate-united-states-government-assistance-for,https://www.govinfo.gov/content/pkg/FR-2007-05-11/pdf/07-2367.pdf,Presidential Document,Executive Order,05/11/2007,05/08/2007,26709,Establishment of Temporary Organization To Facilitate United States Government Assistance for Transition in Iraq,"",13431
